TIMESTAMP	ACCX	ACCY	ACCZ
1653460138507	0.00000	0.00000	0.00000
1653460138566	-0.24121	0.23193	3.87939
1653460138596	-0.22607	0.23486	3.86279
1653460138655	0.00000	0.00000	0.00000
1653460138656	0.00000	0.00000	0.00000
1653460138683	-0.21631	0.24561	3.89209
1653460138728	-0.21631	0.23633	3.85352
1653460138776	-0.22607	0.25391	3.88135
1653460138834	-0.22607	0.25684	3.85889
1653460138879	-0.21094	0.22559	3.88086
1653460138924	-0.22607	0.22998	3.87598
1653460138970	-0.20850	0.24854	3.89551
1653460139028	-0.21631	0.25391	3.87305
1653460139078	-0.22168	0.22314	3.87256
1653460139133	-0.22559	0.22217	3.88135
1653460139179	-0.21924	0.26611	3.89209
1653460139224	-0.22412	0.25537	3.88086
1653460139269	-0.21631	0.24561	3.87598
1653460139329	-0.20459	0.20068	3.87939
1653460139374	-0.21338	0.23975	3.89404
1653460139419	-0.23877	0.22559	3.88086
1653460139479	-0.21924	0.25537	3.87939
1653460139524	-0.21240	0.24316	3.87451
1653460139571	-0.22998	0.26074	3.84863
1653460139629	-0.21240	0.25537	3.89551
1653460139675	-0.23877	0.22803	3.87842
1653460139719	-0.21484	0.23389	3.88232
1653460139780	-0.18457	0.23926	3.88037
1653460139824	-0.22949	0.24707	3.89746
1653460139890	-0.23438	0.25537	3.87939
1653460139930	-0.20996	0.27930	3.89697
1653460139975	-0.23096	0.23584	3.87500
1653460140019	-0.20361	0.22559	3.87598
1653460140094	-0.23096	0.25000	3.86670
1653460140124	-0.21924	0.22705	3.88232
1653460140185	-0.22314	0.20996	3.86621
1653460140229	-0.21777	0.23633	3.84668
1653460140289	-0.21240	0.25879	3.90820
1653460140319	-0.22119	0.26221	3.88232
1653460140394	-0.20605	0.24561	3.88232
1653460140424	-0.21094	0.22314	3.85059
1653460140469	-0.21240	0.22705	3.87451
1653460140529	-0.22803	0.23486	3.88086
1653460140574	-0.17969	0.23486	3.87598
1653460140619	-0.21777	0.26367	3.87305
1653460140679	-0.21484	0.22021	3.88232
1653460140724	-0.22412	0.24023	3.89111
1653460140770	-0.20313	0.23877	3.86182
1653460140829	-0.21094	0.24023	3.87305
1653460140874	-0.19922	0.25195	3.86816
1653460140933	-0.20459	0.22705	3.88477
1653460140980	-0.21289	0.24023	3.85352
1653460141024	-0.18896	0.23877	3.89502
1653460141084	-0.21094	0.22314	3.87158
1653460141130	-0.20459	0.24854	3.86816
1653460141176	-0.20996	0.23877	3.88428
1653460141221	-0.24414	0.23633	3.83398
1653460141369	-0.20850	0.23486	3.87305
1653460141414	-0.22803	0.21631	3.89063
1653460141444	-0.19043	0.23486	3.88232
1653460141489	-0.22607	0.22998	3.91455
1653460141535	-0.19531	0.25195	3.87305
1653460141593	-0.21631	0.22705	3.88477
1653460141626	-0.20947	0.23486	3.86523
1653460141684	-0.19531	0.23389	3.87451
1653460141729	-0.19678	0.24023	3.88037
1653460141777	-0.19287	0.22998	3.88574
